max_v_up,mean_v_up,min_v_up,max_v_dn,mean_v_dn,min_v_dn,max_v_dup,mean_v_dup,min_v_dup,max_v_ddn,mean_v_ddn,min_v_ddn,max_v_aup,mean_v_aup,min_v_aup,max_v_adn,mean_v_adn,min_v_adn,max_i_up,mean_i_up,min_i_up,max_i_dn,mean_i_dn,min_i_dn,max_i_dup,mean_i_dup,min_i_dup,max_i_ddn,mean_i_ddn,min_i_ddn,max_i_aup,mean_i_aup,min_i_aup,max_i_adn,mean_i_adn,min_i_adn,max_r_up,mean_r_up,min_r_up,max_r_dn,mean_r_dn,min_r_dn,max_r_dup,mean_r_dup,min_r_dup,max_r_ddn,mean_r_ddn,min_r_ddn,max_r_aup,mean_r_aup,min_r_aup,max_r_adn,mean_r_adn,min_r_adn,f_name,line_index,freq_index,RF
0.002906874,0.000974139,0.000179589,0.00506578,0.001363155,0.000131875,0.001174295,0.000527872,3.31E-05,0.006962187,0.001855726,8.29E-05,0.161350285,0.041874885,0.004115684,0.161350285,0.041874885,0.004115684,0.067660417,0.02486071,0.010179833,0.046168583,0.022756246,0.008365833,0.09263,0.03347,0.01236,0.05333,0.016427391,0,1.947444583,0.680822656,0.2006045,1.947444583,0.680822656,0.2006045,0.01305125,0.005232388,0.003519417,0.01232875,0.006265873,0.003573083,0.01254,0.007935652,0.00483,0.01213,0.00654913,0.00351,0.201675,0.101255996,0.073659583,0.201675,0.101255996,0.073659583,m=2_day=12_h=12_mins=8.pickle,2444,6920,1
0.003508694,0.001402969,0.000351684,0.004873736,0.001564185,0.00027426,0.003193662,0.001316246,0.000198118,0.005452683,0.001749236,0.000222416,0.086325879,0.032157969,0.00588324,0.086325879,0.032157969,0.00588324,0.081842167,0.044214783,0.012022333,0.088581333,0.034277826,0.011387333,0.15787,0.060447391,0,0.06103,0.026381304,0,3.079096,1.218668572,0.288106,3.079096,1.218668572,0.288106,0.318365083,0.064448036,0.005212667,0.313316917,0.064041094,0.004824083,0.31748,0.064715652,0.00455,0.3142,0.06561,0.00593,0.757682667,0.239044333,0.093112917,0.757682667,0.239044333,0.093112917,m=2_day=12_h=14_mins=13.pickle,1978,2843,0
0.002882497,0.000669456,0.000269374,0.007181521,0.001032248,0.000169503,0.0006393,0.000309106,6.94E-05,0.009232025,0.00123509,5.41E-05,0.187946875,0.026683304,0.004542783,0.187946875,0.026683304,0.004542783,0.314608333,0.054802348,0.00396275,0.140811667,0.048432,0.004214083,0.4454,0.090078696,0.00612,0.08625,0.036418261,0.00375,8.778795,1.838117022,0.092583583,8.778795,1.838117022,0.092583583,0.025674833,0.009800659,0.003948833,0.025235167,0.009713254,0.003591167,0.03536,0.013755217,0.0059,0.02474,0.009546957,0.00396,0.322315167,0.142586004,0.081398833,0.322315167,0.142586004,0.081398833,m=2_day=12_h=17_mins=4.pickle,5296,6209,0
0.008996561,0.002209999,0.000230017,0.00401025,0.001426166,0.000278945,0.011387151,0.002825788,0.000203997,0.001990183,0.000994026,0.000264438,0.2136296,0.051271153,0.004757504,0.2136296,0.051271153,0.004757504,0.064385583,0.028728866,0.007588583,0.162084417,0.042431134,0.008639,0.08139,0.020546087,0,0.22019,0.058183478,0.01047,4.002408083,0.999724554,0.177492,4.002408083,0.999724554,0.177492,0.045338,0.025967641,0.01293925,0.030693833,0.019297141,0.01191075,0.04751,0.028675217,0.01552,0.02973,0.018447826,0.01048,0.3846915,0.246889493,0.21478725,0.3846915,0.246889493,0.21478725,m=2_day=12_h=17_mins=50.pickle,2998,3018,0
0.000297214,0.00015602,8.28E-05,0.000402633,0.000179169,7.79E-05,0.000299225,0.000203433,0.000126761,0.000394233,0.000141768,5.49E-06,0.009186066,0.003946358,0.001779927,0.009186066,0.003946358,0.001779927,0.0364215,0.018717714,0.0062075,0.0643685,0.02368533,0.0041225,0.09537,0.032741739,0.00618,0.04551,0.019298696,0.00214,1.340406,0.539644533,0.1009675,1.340406,0.539644533,0.1009675,0.021027917,0.009714406,0.005410167,0.015632083,0.007555594,0.004034417,0.01939,0.010230435,0.00491,0.01645,0.009105217,0.0032,0.297193333,0.154946246,0.104727083,0.297193333,0.154946246,0.104727083,m=2_day=12_h=18_mins=56.pickle,2250,5523,0
0.000518597,0.000208199,6.01E-05,0.000737443,0.000222015,7.38E-05,0.000877735,0.000342783,4.43E-05,0.000322938,0.000129324,2.38E-05,0.012845402,0.005059726,0.001467354,0.012845402,0.005059726,0.001467354,0.061778,0.024037634,0.005551333,0.058932,0.023911496,0.004048667,0.09958,0.03731913,0.00664,0.09845,0.035040435,0.00531,1.97971625,0.662851594,0.107532667,1.97971625,0.662851594,0.107532667,0.015112417,0.00657458,0.003371083,0.010807583,0.005244986,0.002418917,0.01527,0.007643478,0.00391,0.01052,0.005232174,0.00168,0.202163583,0.106401877,0.0674175,0.202163583,0.106401877,0.0674175,m=2_day=12_h=19_mins=17.pickle,5352,5334,1
0.003086138,0.000712527,0.000266929,0.007890305,0.001196994,0.00020166,0.00089248,0.000437337,7.48E-05,0.010244437,0.001474106,0.000288475,0.208999141,0.030651975,0.005301534,0.208999141,0.030651975,0.005301534,0.296953833,0.050908732,0.005954167,0.141029917,0.039225181,0.006242333,0.41823,0.072085217,0.00489,0.08014,0.043248261,0.00799,8.105562667,1.47825329,0.112171667,8.105562667,1.47825329,0.112171667,0.05405725,0.017363659,0.007024333,0.04296275,0.013226341,0.005504583,0.05417,0.020375652,0.00966,0.05341,0.017415217,0.00476,0.38979875,0.219171322,0.120118667,0.38979875,0.219171322,0.120118667,m=2_day=12_h=22_mins=14.pickle,3809,3815,0
0.003358622,0.001231752,0.000222985,0.009572853,0.002221166,0.000212733,0.002051468,0.000964098,5.51E-05,0.01103449,0.002511176,0.000230856,0.150526059,0.036824826,0.004714539,0.150526059,0.036824826,0.004714539,0.1184805,0.036869576,0.006223167,0.07750875,0.034190424,0.005886833,0.17105,0.039947826,0,0.11266,0.045973913,0.00307,2.851594,1.009847076,0.148982667,2.851594,1.009847076,0.148982667,0.031626833,0.017062703,0.0064765,0.055993167,0.032704254,0.012593,0.02942,0.013354348,0.0041,0.05783,0.035193043,0.01663,0.255267167,0.20975463,0.164947,0.255267167,0.20975463,0.164947,m=2_day=12_h=23_mins=16.pickle,5871,5856,0
0.002394877,0.001219829,0.000261536,0.00484708,0.001832241,0.000238142,0.001977472,0.000868683,0.00014149,0.005967889,0.002320703,0.000407562,0.11375837,0.042690894,0.006433366,0.11375837,0.042690894,0.006433366,0.12183475,0.050608355,0.008114417,0.08656425,0.039908601,0.012683167,0.18711,0.072765217,0.00432,0.1161,0.027408696,0,3.016689,1.262679884,0.22751,3.016689,1.262679884,0.22751,0.011969167,0.00600663,0.002629583,0.008050833,0.0048125,0.00256575,0.00946,0.006072174,0.003,0.01274,0.005698696,0.00269,0.184886667,0.095184732,0.054804167,0.184886667,0.095184732,0.054804167,m=2_day=12_h=2_mins=34.pickle,5804,1179,1
0.007281226,0.0010084,0.000111008,0.002180286,0.000478996,0.000162863,0.008860376,0.001278272,0.00019192,0.000694039,0.00036228,0.000137069,0.143094487,0.020987466,0.002975167,0.143094487,0.020987466,0.002975167,0.05285975,0.026660109,0.0058245,0.08588875,0.033554239,0.0042755,0.06657,0.033925652,0.00371,0.11654,0.048501739,0.00776,2.2530135,0.929557913,0.114631,2.2530135,0.929557913,0.114631,0.01563825,0.007984833,0.00477375,0.01649175,0.009892558,0.005417667,0.01353,0.006843478,0.00178,0.01912,0.012128261,0.00854,0.2881015,0.169998793,0.116981667,0.2881015,0.169998793,0.116981667,m=2_day=12_h=5_mins=28.pickle,2250,1251,0
