max_v_up,mean_v_up,min_v_up,max_v_dn,mean_v_dn,min_v_dn,max_v_dup,mean_v_dup,min_v_dup,max_v_ddn,mean_v_ddn,min_v_ddn,max_v_aup,mean_v_aup,min_v_aup,max_v_adn,mean_v_adn,min_v_adn,max_i_up,mean_i_up,min_i_up,max_i_dn,mean_i_dn,min_i_dn,max_i_dup,mean_i_dup,min_i_dup,max_i_ddn,mean_i_ddn,min_i_ddn,max_i_aup,mean_i_aup,min_i_aup,max_i_adn,mean_i_adn,min_i_adn,max_r_up,mean_r_up,min_r_up,max_r_dn,mean_r_dn,min_r_dn,max_r_dup,mean_r_dup,min_r_dup,max_r_ddn,mean_r_ddn,min_r_ddn,max_r_aup,mean_r_aup,min_r_aup,max_r_adn,mean_r_adn,min_r_adn,f_name,line_index,freq_index,RF
0.001804413,0.000671087,0.000318494,0.017092485,0.002423768,0.000350667,0.000747356,0.000586378,0.000386097,0.018319566,0.002634742,0.000193104,0.114550366,0.022436661,0.006023111,0.114550366,0.022436661,0.006023111,0.262578583,0.03506802,0.002736583,0.09110175,0.031466266,0.002373667,0.30643,0.052725714,0.00234,0.10747,0.032262381,0,3.379249083,0.866442905,0.05513525,3.379249083,0.866442905,0.05513525,0.121778833,0.029691829,0.00887825,0.138281167,0.033314837,0.008736,0.11747,0.030582857,0.00861,0.14057,0.040799524,0.0146,0.837976667,0.336115175,0.136064,0.837976667,0.336115175,0.136064,m=10_day=20_h=15_mins=29.pickle,4628,4511,0
0.002127747,0.000557789,0.000250807,0.01615887,0.002243904,0.000319424,0.001382458,0.000586883,0.000342417,0.016999384,0.002379094,0.000151911,0.095075629,0.018323756,0.00604833,0.095075629,0.018323756,0.00604833,0.15739725,0.026331171,0.002559667,0.16559275,0.029170734,0.002840333,0.12177,0.028105238,0,0.20134,0.026323333,0,3.107566,0.706307484,0.053935,3.107566,0.706307484,0.053935,0.205512667,0.040627571,0.01195425,0.159667333,0.030388619,0.006449917,0.20561,0.041435238,0.01375,0.1572,0.029686667,0.00584,1.015084667,0.276860496,0.14951525,1.015084667,0.276860496,0.14951525,m=10_day=20_h=15_mins=44.pickle,5866,5738,0
0.005223478,0.001718811,0.000554779,0.016614959,0.003318107,0.00055875,0.002834323,0.001604372,0.000292485,0.019406357,0.004018873,0.000616118,0.285838171,0.064497376,0.014424616,0.285838171,0.064497376,0.014424616,0.161246917,0.053673349,0.002996917,0.18395725,0.044205698,0.002173333,0.19905,0.071391429,0.00298,0.21312,0.045409524,0.00241,4.90773425,1.35678706,0.052083333,4.90773425,1.35678706,0.052083333,0.017734667,0.010806143,0.006033,0.029762417,0.015216714,0.00743725,0.02884,0.010867619,0.00285,0.03197,0.019092857,0.01078,0.389622,0.241003714,0.1442315,0.389622,0.241003714,0.1442315,m=10_day=20_h=16_mins=11.pickle,4832,1489,0
0.001966506,0.00065688,0.000300492,0.016571316,0.002413919,0.000394476,0.001116964,0.000657823,0.000422716,0.017592224,0.002595088,0.000141435,0.120076022,0.023727997,0.007431869,0.120076022,0.023727997,0.007431869,0.338643417,0.04843956,0.002548167,0.198866583,0.043163298,0.002771833,0.46273,0.063068095,0,0.11623,0.039231429,0,7.398814,1.257343833,0.053008167,7.398814,1.257343833,0.053008167,0.117671083,0.043197349,0.011140833,0.131438917,0.04126027,0.008899167,0.12266,0.046619524,0.01312,0.13424,0.042105714,0.00656,1.412830667,0.527585004,0.202611167,1.412830667,0.527585004,0.202611167,m=10_day=20_h=16_mins=18.pickle,4176,3690,0
0.002012806,0.000544413,0.000235928,0.016500057,0.002251881,0.000192522,0.001160825,0.000569182,0.000288562,0.017364071,0.002296993,0.000116344,0.105646949,0.019084641,0.006516769,0.105646949,0.019084641,0.006516769,0.22552825,0.031610901,0.002268583,0.10499175,0.028004813,0.002291417,0.21461,0.035641905,0,0.11727,0.038928571,0.00056,2.06265925,0.672786278,0.043857833,2.06265925,0.672786278,0.043857833,0.111850333,0.023090683,0.007314417,0.130719667,0.024563603,0.00709225,0.11524,0.024556667,0.00793,0.13193,0.025728095,0.00805,0.820737667,0.24805581,0.1463375,0.820737667,0.24805581,0.1463375,m=10_day=20_h=16_mins=35.pickle,4026,3908,0
0.00161954,0.000451733,0.000142628,0.013583292,0.002096016,0.000309616,0.0011628,0.000474748,0.000202484,0.014137745,0.002155346,0,0.046058748,0.012925618,0.004813393,0.046058748,0.012925618,0.004813393,0.394779333,0.041044596,0.00214725,0.127310667,0.026104351,0.0019995,0.41711,0.043927368,0,0.17728,0.031917368,0,4.058456,0.722593864,0.0476385,4.058456,0.722593864,0.0476385,0.01374975,0.010745088,0.008259417,0.015071083,0.010023333,0.006563583,0.02108,0.011788947,0.00719,0.01547,0.012308421,0.00917,0.259583917,0.175663768,0.122051083,0.259583917,0.175663768,0.122051083,m=10_day=20_h=17_mins=50.pickle,5641,5012,0
0.000756612,0.00037941,0.000248026,0.001635789,0.000744153,0.000242275,0.001314645,0.000505961,0.000144352,0.002079229,0.001017202,0.000447276,0.022414604,0.012268268,0.006411192,0.022414604,0.012268268,0.006411192,0.100135167,0.030258693,0.002182417,0.082860083,0.023168149,0.002481667,0.15019,0.041952632,0.00283,0.07229,0.025411579,0.00308,2.454704833,0.714412219,0.053497417,2.454704833,0.714412219,0.053497417,0.054273667,0.021087487,0.007533083,0.049916333,0.019397776,0.007926917,0.07652,0.029190526,0.00826,0.08514,0.030582105,0.00651,0.835219,0.345389513,0.113988,0.835219,0.345389513,0.113988,m=10_day=20_h=17_mins=59.pickle,1918,5750,0
0.001972896,0.000492826,0.00021584,0.01831713,0.00255785,0.000260692,0.001107477,0.000531528,0.000319535,0.019279827,0.002540727,1.85E-05,0.095103261,0.01850262,0.007431229,0.095103261,0.01850262,0.007431229,0.459634333,0.039587329,0.002485667,0.072435667,0.023372194,0.002494333,0.50769,0.03797619,5.00E-05,0.0801,0.024044286,0,3.572710667,0.704355714,0.049620167,3.572710667,0.704355714,0.049620167,0.113776083,0.027529095,0.008292417,0.125683917,0.027072333,0.006580083,0.11444,0.02847,0.00852,0.12265,0.027245714,0.00701,0.875446333,0.287385206,0.117806,0.875446333,0.287385206,0.117806,m=10_day=20_h=18_mins=14.pickle,5927,5692,0
0.002262928,0.000671373,0.000246921,0.017983114,0.00247477,0.000259946,0.001255794,0.000809619,0.000388906,0.018990967,0.002377388,9.18E-06,0.115362734,0.024667473,0.007012036,0.115362734,0.024667473,0.007012036,0.39544125,0.047550389,0.002206833,0.123940333,0.038118659,0.002745,0.43202,0.044237143,0,0.21348,0.054572857,0.00336,4.398966667,1.252714369,0.052293167,4.398966667,1.252714369,0.052293167,0.115732833,0.023629119,0.007347917,0.138427167,0.026307071,0.007394417,0.14206,0.027915238,0.00705,0.13583,0.025714286,0.00773,1.000904333,0.261002556,0.119417083,1.000904333,0.261002556,0.119417083,m=10_day=20_h=18_mins=35.pickle,3955,3815,0
0.002012901,0.000635994,0.000277138,0.017982007,0.002437474,0.000225299,0.001142468,0.000732932,0.000398393,0.019175186,0.002487519,0,0.120973506,0.023508699,0.008076222,0.120973506,0.023508699,0.008076222,0.309580333,0.035932869,0.002421667,0.132409667,0.036431893,0.003256333,0.28738,0.02933619,0,0.15822,0.046897143,0.00261,2.493624667,0.820124599,0.054061667,2.493624667,0.820124599,0.054061667,0.090931667,0.025913798,0.0044365,0.063258333,0.017090488,0.00552,0.0874,0.024849048,0.00571,0.06865,0.01972,0.00622,0.471128333,0.208205083,0.093935,0.471128333,0.208205083,0.093935,m=10_day=20_h=18_mins=55.pickle,5153,5140,0
